seed,turn,budget,v_index,v_dp,v_lp,rel_gap,idx_over_lp
0,32,1200,3.064458,3.149928,3.079645,0.027134,0.995069
0,32,1600,3.292912,3.292912,3.311457,0.0,0.9944
0,32,2500,3.393356,3.393356,3.400483,0.0,0.997904
0,32,4000,3.529333,3.529333,3.534315,-0.0,0.99859
0,33,600,1.343178,1.604791,1.385563,0.16302,0.969409
0,33,1200,3.109659,3.216601,3.135281,0.033247,0.991828
0,33,1600,3.398356,3.398356,3.414773,0.0,0.995192
0,33,2500,3.50564,3.50564,3.508786,0.0,0.999103
0,33,4000,3.641042,3.641042,3.642993,0.0,0.999464
0,34,600,1.294145,1.517782,1.303745,0.147345,0.992637
0,34,1200,3.092227,3.181234,3.100926,0.027979,0.997195
0,34,1600,3.403442,3.403442,3.413594,0.0,0.997026
0,34,2500,3.469425,3.505328,3.504727,0.010242,0.989928
0,34,4000,3.596423,3.637687,3.636457,0.011343,0.988991
0,35,600,1.178162,1.448856,1.226129,0.186833,0.960879
0,35,1200,2.980663,3.085309,2.98692,0.033917,0.997905
0,35,1600,3.32875,3.32875,3.334515,0.0,0.998271
0,35,2500,3.37875,3.428088,3.423469,0.014392,0.986938
0,35,4000,3.518057,3.558946,3.554385,0.011489,0.989779
0,36,600,1.137791,1.414148,1.188567,0.195423,0.95728
0,36,1200,2.996165,3.096275,2.99862,0.032332,0.999181
0,36,1600,3.386908,3.386908,3.388601,0.0,0.9995
0,36,2500,3.436908,3.473164,3.475845,0.010439,0.988798
0,36,4000,3.576697,3.592887,3.609731,0.004506,0.990848
0,37,600,1.131244,1.401994,1.151355,0.193118,0.982533
0,37,1200,3.045758,3.152891,3.047587,0.033979,0.9994
0,37,1600,3.480218,3.503549,3.492094,0.006659,0.996599
0,37,2500,3.558419,3.567913,3.593392,0.002661,0.990268
0,37,4000,3.696262,3.702231,3.72795,0.001612,0.9915
0,38,600,1.062237,1.319339,1.077656,0.194872,0.985692
0,38,1200,2.970624,3.091437,2.98001,0.03908,0.99685
0,38,1600,3.44686,3.486976,3.448058,0.011505,0.999652
0,38,2500,3.537807,3.537807,3.57061,0.0,0.990813
0,38,4000,3.67664,3.67664,3.703639,0.0,0.99271
0,39,600,0.995065,1.258077,1.011527,0.209059,0.983725
0,39,1200,2.961972,3.081306,2.970664,0.038728,0.997074
0,39,1600,3.439724,3.48198,3.443759,0.012135,0.998828
0,39,2500,3.554827,3.554827,3.583795,-0.0,0.991917
0,39,4000,3.695057,3.695057,3.718592,-0.0,0.993671
1,0,600,0.265996,0.265996,0.265996,0.0,1.0
1,0,1200,0.265996,0.265996,0.265996,0.0,1.0
1,0,1600,0.265996,0.265996,0.265996,0.0,1.0
1,0,2500,0.265996,0.265996,0.265996,0.0,1.0
1,0,4000,0.265996,0.265996,0.265996,0.0,1.0
1,1,600,0.487427,0.487427,0.488835,0.0,0.99712
1,1,1200,0.537009,0.537009,0.537009,0.0,1.0
1,1,1600,0.537009,0.537009,0.537009,0.0,1.0
1,1,2500,0.537009,0.537009,0.537009,0.0,1.0
1,1,4000,0.537009,0.537009,0.537009,0.0,1.0
1,2,600,0.605996,0.605996,0.657885,0.0,0.921128
1,2,1200,0.712592,0.712592,0.719423,0.0,0.990505
1,2,1600,0.712592,0.712592,0.755856,0.0,0.942762
1,2,2500,0.757495,0.757495,0.757495,0.0,1.0
1,2,4000,0.757495,0.757495,0.757495,0.0,1.0
1,3,600,0.765696,0.765696,0.810864,0.0,0.944297
1,3,1200,0.866688,0.866688,0.869368,0.0,0.996917
1,3,1600,0.866688,0.866688,0.907659,0.0,0.95486
1,3,2500,0.957121,0.957121,0.957121,0.0,1.0
1,3,4000,0.957121,0.957121,0.957121,0.0,1.0
1,4,600,0.950701,0.950701,0.990894,-0.0,0.959437
1,4,1200,1.004365,1.004365,1.051357,-0.0,0.955303
1,4,1600,1.053134,1.053134,1.090087,0.0,0.966101
1,4,2500,1.145466,1.145466,1.171142,0.0,0.978076
1,4,4000,1.188376,1.188376,1.188376,0.0,1.0
1,5,600,1.080667,1.080667,1.114812,0.0,0.969372
1,5,1200,1.132727,1.132727,1.175189,0.0,0.963868
1,5,1600,1.181509,1.181509,1.213455,0.0,0.973673
1,5,2500,1.270973,1.270973,1.292123,0.0,0.983631
1,5,4000,1.350834,1.350834,1.350834,0.0,1.0
1,6,600,1.261663,1.261663,1.290925,0.0,0.977333
1,6,1200,1.313661,1.313661,1.351431,-0.0,0.972052
1,6,1600,1.362251,1.362251,1.390667,-0.0,0.979566
1,6,2500,1.457644,1.457644,1.475309,0.0,0.988026
1,6,4000,1.577079,1.577079,1.577079,-0.0,1.0
1,7,600,1.385955,1.385955,1.411078,0.0,0.982195
1,7,1200,1.439451,1.439451,1.471741,0.0,0.97806
